word;x;y;shape;concept
osl_ uši;-4.25537668332;-2.96092161224;*;4
otcov_ kravaty;4.8764217525;1.88853863105;s;0
otcov_ přátelé;-1.87268072295;-6.83363080645;*;1
otcov_ slepice;3.76951683569;0.21885804911;s;0
otcov_ zbraně;3.87531884775;1.01542261114;s;0
plesniv_ sýr;2.88627361267;4.97058346271;s;2
poutav_ příběh;2.14406506546;3.80505396956;s;2
praskl_ džbán;1.75799059278;3.81450929312;s;2
prav_ lví chlup;-3.55163811231;2.77563800057;s;2
pravý včel_ med;-2.57479771471;-2.23718800544;*;4
premiérovi chamtiv_ poradci;-1.20515439095;-5.85195375668;*;4
pro otcov_ králíky;6.65731772311;-0.742239798652;s;0
pronikavý ps_ štěkot;-2.93181657946;-3.58557429282;*;4
přím_ způsob;0.504828581208;1.31230158373;s;2
rorýs_ útok;-4.68811397708;-4.11956074713;*;4
rychl_ jezdec;1.71062856295;2.05313282719;s;2
rychlý sokol_ let;-3.24246939089;-2.50540847068;*;4
ryz_ stříbro;0.881382145588;-3.64855615731;*;4
s kuřecím_ vnitřnostmi;-2.59697382368;-4.81418837388;*;6
s milým_ lidmi;-3.73789986494;-5.54135091773;*;6
s prav_m diamantem;2.65398520038;5.97122998284;s;3
s vepřov_m masem;-1.54690916064;3.32491354383;s;3
se soukrom_mi dodavateli;1.45028667021;0.455842850661;s;3
se zl_m mužem;0.628065123152;4.91291200688;s;3
slep_ panoš;-0.114506657738;2.10214524612;s;2
směl_ skutek;1.06713091503;3.52135680682;s;2
snaživ_ běžec;2.0015451324;2.96034287561;s;2
sousedov_ děti;5.52299220399;-1.30481553713;s;0
spanil_ rytíř;1.89086766333;1.55441413814;s;2
spisovatelov_ novely;5.69462002531;2.71954975232;s;0
střemhlav_m pádem;0.702558310529;6.47328617366;s;3
trval_ rozvoj;1.63497254677;5.28033308348;s;2
urostl_ chlapci;-0.559092140889;-4.30148854673;*;4
učitelov_ hodiny;5.82627903876;1.9205151215;s;0
v jazykov_ch příručkách;-1.26030301481;4.22763973083;s;3
v papírov_ch obálkách;-0.680281972484;6.2670066024;s;3
v převisl_ch štítech;-0.351307996804;6.13797270863;s;3
v rychl_ch vozech;-1.21096893765;5.73816284716;s;3
v starostov_ch návrzích;0.232273181521;5.75461717063;s;3
v tmav_ch hvozdech;2.48837499703;6.48135946551;s;3
v Čapkov_ch hrách;-1.74339131898;5.29514127897;s;3
velryb_ ploutve;-2.01573662196;-0.377914158148;*;4
vlasov_ produkt;4.12777813167;4.45324041599;s;2
vrb_ mlčení;-1.72563417223;-4.13382360538;*;4
vrbov_mi pruty;1.49531363139;-0.240895321286;s;3
z Medkov_ch obrazů;1.61564054133;6.20254515883;s;3
z jedlov_ch šišek;-1.37433729583;4.50296036791;s;3
z žab_ch jiker;-4.72511431235;-2.63455249894;*;5
za Pavlov_ potomky;6.59459516495;-0.175786735132;s;0
za básníkov_ skladby;5.13510294114;-0.28063174433;s;0
zdánliv_ úhyb;0.546565332479;7.11722444849;s;2
znám_ lidé;0.310574381096;-5.29147762513;*;4
štíhl_ proutek;1.14943561605;3.22912187384;s;2
želv_ krunýře;-2.83497296226;-0.960484054569;*;4
